2019-04-01 10:10:03,352 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-04-01 10:10:03,357 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-01 10:10:03,366 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-01 10:10:20,776 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-01 10:10:20,786 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-04-01 10:10:20,792 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-01 10:10:20,801 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-01 10:10:34,225 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-01 10:10:34,234 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-04-01 10:10:34,239 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-01 10:10:34,247 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
